"Date Administered","AgeGroupVacc","7-day_avg_group_cases_per_100k","Administered_Dose1_pct_agegroup","Series_Complete_Pop_pct_agegroup"
"2022 Sep 16 12:00:00 AM","65+ Years","18.65791147811","95%","92.4%"
"2022 Sep 15 12:00:00 AM","<2 Years","11.72239801003","4.6%","1.2%"
"2022 Sep 15 12:00:00 AM","2 - 4 Years","11.90537179897","7.3%","2.2%"
"2022 Sep 15 12:00:00 AM","5 - 11 Years","9.425847801","38.4%","31.3%"
"2022 Sep 15 12:00:00 AM","12 - 17 Years","13.03831912996","70.9%","60.7%"
"2022 Sep 15 12:00:00 AM","18 - 24 Years","14.83540916708","80.2%","65.3%"
"2022 Sep 15 12:00:00 AM","25 - 49 Years","14.94628475291","83.7%","70.8%"
"2022 Sep 15 12:00:00 AM","50 - 64 Years","14.89443956724","94.3%","82.5%"
"2022 Sep 15 12:00:00 AM","65+ Years","18.73745528439","95%","92.3%"
"2022 Sep 14 12:00:00 AM","<2 Years","12.23885231221","4.5%","1.2%"
"2022 Sep 14 12:00:00 AM","2 - 4 Years","12.16294847919","7.3%","2.2%"
"2022 Sep 14 12:00:00 AM","5 - 11 Years","9.48812097098","38.4%","31.3%"
"2022 Sep 14 12:00:00 AM","12 - 17 Years","13.35810971829","70.9%","60.7%"
"2022 Sep 14 12:00:00 AM","18 - 24 Years","15.61636946101","80.2%","65.3%"
"2022 Sep 14 12:00:00 AM","25 - 49 Years","15.45277929069","83.6%","70.8%"
"2022 Sep 14 12:00:00 AM","50 - 64 Years","15.33373324874","94.2%","82.5%"
"2022 Sep 14 12:00:00 AM","65+ Years","19.15050169375","95%","92.3%"
"2022 Sep 13 12:00:00 AM","<2 Years","12.76273761155","4.5%","1.1%"
"2022 Sep 13 12:00:00 AM","2 - 4 Years","12.62481011269","7.2%","2.1%"
"2022 Sep 13 12:00:00 AM","5 - 11 Years","9.87883489229","38.4%","31.3%"
"2022 Sep 13 12:00:00 AM","12 - 17 Years","14.08220697901","70.9%","60.7%"
"2022 Sep 13 12:00:00 AM","18 - 24 Years","16.41340278762","80.2%","65.3%"
"2022 Sep 13 12:00:00 AM","25 - 49 Years","16.06562577634","83.6%","70.8%"
"2022 Sep 13 12:00:00 AM","50 - 64 Years","15.85748028918","94.2%","82.5%"
"2022 Sep 13 12:00:00 AM","65+ Years","19.77733859907","95%","92.3%"
"2022 Sep 12 12:00:00 AM","<2 Years","13.27423791564","4.5%","1.1%"
"2022 Sep 12 12:00:00 AM","2 - 4 Years","13.12930512775","7.2%","2.1%"
"2022 Sep 12 12:00:00 AM","5 - 11 Years","10.48449169063","38.4%","31.3%"
"2022 Sep 12 12:00:00 AM","12 - 17 Years","15.02216288686","70.9%","60.7%"
"2022 Sep 12 12:00:00 AM","18 - 24 Years","17.42884026423","80.2%","65.3%"
"2022 Sep 12 12:00:00 AM","25 - 49 Years","16.96128378505","83.6%","70.8%"
"2022 Sep 12 12:00:00 AM","50 - 64 Years","16.53787468891","94.2%","82.5%"
"2022 Sep 12 12:00:00 AM","65+ Years","20.34471584853","95%","92.3%"
"2022 Sep 11 12:00:00 AM","<2 Years","12.66861164761","4.4%","1.1%"
"2022 Sep 11 12:00:00 AM","2 - 4 Years","12.31216531463","7.1%","2%"
"2022 Sep 11 12:00:00 AM","5 - 11 Years","9.54738092305","38.4%","31.3%"
"2022 Sep 11 12:00:00 AM","12 - 17 Years","13.83265610919","70.9%","60.7%"
"2022 Sep 11 12:00:00 AM","18 - 24 Years","16.32736478913","80.1%","65.3%"
"2022 Sep 11 12:00:00 AM","25 - 49 Years","15.75887183716","83.6%","70.7%"
"2022 Sep 11 12:00:00 AM","50 - 64 Years","15.31420908512","94.2%","82.5%"
"2022 Sep 11 12:00:00 AM","65+ Years","19.14627345156","95%","92.3%"
"2022 Sep 10 12:00:00 AM","<2 Years","13.0649314958","4.4%","1.1%"
"2022 Sep 10 12:00:00 AM","2 - 4 Years","12.63369206719","7.1%","2%"
"2022 Sep 10 12:00:00 AM","5 - 11 Years","9.85673796101","38.4%","31.3%"
"2022 Sep 10 12:00:00 AM","12 - 17 Years","14.26323129419","70.9%","60.7%"
"2022 Sep 10 12:00:00 AM","18 - 24 Years","16.76748224292","80.1%","65.2%"
"2022 Sep 10 12:00:00 AM","25 - 49 Years","16.0830865439","83.6%","70.7%"
"2022 Sep 10 12:00:00 AM","50 - 64 Years","15.6418063887","94.2%","82.5%"
"2022 Sep 10 12:00:00 AM","65+ Years","19.61005876725","95%","92.2%"
"2022 Sep 09 12:00:00 AM","<2 Years","13.32749339524","4.4%","1.1%"
"2022 Sep 09 12:00:00 AM","2 - 4 Years","12.87705762022","7.1%","1.9%"
"2022 Sep 09 12:00:00 AM","5 - 11 Years","10.07218304102","38.4%","31.3%"
"2022 Sep 09 12:00:00 AM","12 - 17 Years","14.59558508421","70.9%","60.7%"
"2022 Sep 09 12:00:00 AM","18 - 24 Years","17.02559623837","80.1%","65.2%"
"2022 Sep 09 12:00:00 AM","25 - 49 Years","16.24975750698","83.6%","70.7%"
"2022 Sep 09 12:00:00 AM","50 - 64 Years","15.8365939746","94.2%","82.4%"
"2022 Sep 09 12:00:00 AM","65+ Years","19.81935675588","95%","92.2%"
"2022 Sep 08 12:00:00 AM","<2 Years","13.6495032719","4.4%","1%"
"2022 Sep 08 12:00:00 AM","2 - 4 Years","13.3655651172","7.1%","1.9%"
"2022 Sep 08 12:00:00 AM","5 - 11 Years","10.71198964224","38.3%","31.2%"
"2022 Sep 08 12:00:00 AM","12 - 17 Years","15.51955146263","70.9%","60.7%"
"2022 Sep 08 12:00:00 AM","18 - 24 Years","17.49455060373","80.1%","65.2%"
"2022 Sep 08 12:00:00 AM","25 - 49 Years","16.51074307058","83.6%","70.7%"
"2022 Sep 08 12:00:00 AM","50 - 64 Years","16.09381347907","94.2%","82.4%"
"2022 Sep 08 12:00:00 AM","65+ Years","20.12960402689","95%","92.2%"
"2022 Sep 07 12:00:00 AM","<2 Years","15.17533468747","4.3%","1%"
"2022 Sep 07 12:00:00 AM","2 - 4 Years","15.47769389502","7%","1.8%"
"2022 Sep 07 12:00:00 AM","5 - 11 Years","12.29091582299","38.3%","31.2%"
"2022 Sep 07 12:00:00 AM","12 - 17 Years","17.13506498833","70.9%","60.6%"
"2022 Sep 07 12:00:00 AM","18 - 24 Years","18.99879736842","80.1%","65.2%"
"2022 Sep 07 12:00:00 AM","25 - 49 Years","17.90562029726","83.5%","70.7%"
"2022 Sep 07 12:00:00 AM","50 - 64 Years","17.03687598707","94.2%","82.4%"
"2022 Sep 07 12:00:00 AM","65+ Years","20.66949770208","95%","92.2%"
"2022 Sep 06 12:00:00 AM","<2 Years","15.76238346261","4.3%","1%"
"2022 Sep 06 12:00:00 AM","2 - 4 Years","16.39253520753","7%","1.8%"
"2022 Sep 06 12:00:00 AM","5 - 11 Years","13.19136577275","38.3%","31.2%"
"2022 Sep 06 12:00:00 AM","12 - 17 Years","18.04646816507","70.9%","60.6%"
"2022 Sep 06 12:00:00 AM","18 - 24 Years","20.12910975509","80.1%","65.2%"
"2022 Sep 06 12:00:00 AM","25 - 49 Years","19.06490944042","83.5%","70.7%"
"2022 Sep 06 12:00:00 AM","50 - 64 Years","18.07392691065","94.2%","82.4%"
"2022 Sep 06 12:00:00 AM","65+ Years","20.96045361808","95%","92.2%"
"2022 Sep 05 12:00:00 AM","<2 Years","16.22805928425","4.2%","1%"
"2022 Sep 05 12:00:00 AM","2 - 4 Years","16.93255804055","6.9%","1.8%"
"2022 Sep 05 12:00:00 AM","5 - 11 Years","13.83217677995","38.3%","31.2%"
"2022 Sep 05 12:00:00 AM","12 - 17 Years","18.7111757451","70.9%","60.6%"
"2022 Sep 05 12:00:00 AM","18 - 24 Years","20.62075546071","80.1%","65.2%"
"2022 Sep 05 12:00:00 AM","25 - 49 Years","19.32748234653","83.5%","70.7%"
"2022 Sep 05 12:00:00 AM","50 - 64 Years","18.57111200755","94.2%","82.4%"
"2022 Sep 05 12:00:00 AM","65+ Years","21.41128994206","95%","92.2%"
"2022 Sep 04 12:00:00 AM","<2 Years","17.74274420409","4.2%","1%"
"2022 Sep 04 12:00:00 AM","2 - 4 Years","19.05001599107","6.9%","1.8%"
"2022 Sep 04 12:00:00 AM","5 - 11 Years","16.3010066478","38.3%","31.2%"
"2022 Sep 04 12:00:00 AM","12 - 17 Years","21.68751243507","70.9%","60.6%"
"2022 Sep 04 12:00:00 AM","18 - 24 Years","22.95843624368","80.1%","65.2%"
"2022 Sep 04 12:00:00 AM","25 - 49 Years","21.68997710883","83.5%","70.7%"
"2022 Sep 04 12:00:00 AM","50 - 64 Years","20.64748410629","94.2%","82.4%"
"2022 Sep 04 12:00:00 AM","65+ Years","23.2426473425","95%","92.2%"
"2022 Sep 03 12:00:00 AM","<2 Years","17.83439316898","4.2%","1%"
"2022 Sep 03 12:00:00 AM","2 - 4 Years","19.26673568064","6.9%","1.8%"
"2022 Sep 03 12:00:00 AM","5 - 11 Years","16.60735046786","38.3%","31.2%"
"2022 Sep 03 12:00:00 AM","12 - 17 Years","21.8696788595","70.9%","60.6%"
"2022 Sep 03 12:00:00 AM","18 - 24 Years","23.0780385163","80.1%","65.2%"
"2022 Sep 03 12:00:00 AM","25 - 49 Years","21.89328922807","83.5%","70.7%"
"2022 Sep 03 12:00:00 AM","50 - 64 Years","20.70628362231","94.2%","82.4%"
"2022 Sep 03 12:00:00 AM","65+ Years","23.11421448585","95%","92.2%"
"2022 Sep 02 12:00:00 AM","<2 Years","18.31245398587","4.2%","1%"
"2022 Sep 02 12:00:00 AM","2 - 4 Years","19.77655986839","6.9%","1.8%"
"2022 Sep 02 12:00:00 AM","5 - 11 Years","17.30541261519","38.3%","31.2%"
